what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384201497459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384201501509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384201503022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384201508570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384201517024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201522730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201540527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384201542051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384201553684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384201553960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384201579049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384201584250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384201585775
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201596530
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201597227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201598433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201598581
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201601656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201602902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201603062
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201605343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201606891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201607073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384201608456
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201613566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201615410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201615557
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384201619263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384201620742
